渠道名称,游戏名称,是否付费,性别,年龄,登录天数,登录次数
渠道H,游戏E,否,男,23,5天以上,31至40次
渠道K,游戏C,否,男,79,5天以上,31至40次
渠道I,游戏E,否,男,27,5天以上,31至40次
渠道B,游戏C,否,男,40,5天以上,31至40次
渠道A,游戏C,否,男,67,5天以上,1次
渠道I,游戏E,否,女,18,5天以上,31至40次
渠道F,游戏C,否,男,31,5天以上,11至20次
渠道M,游戏E,否,男,18,5天以上,31至40次
渠道I,游戏C,否,男,52,5天以上,31至40次
渠道I,游戏C,否,女,46,5天以上,31至40次
渠道M,游戏C,否,男,59,5天以上,31至40次
渠道D,游戏A,是,女,44,5天以上,31至40次
渠道M,游戏A,否,女,53,5天以上,31至40次
渠道L,游戏C,是,男,49,5天以上,11至20次
渠道K,游戏C,否,男,33,5天以上,31至40次
渠道M,游戏E,否,男,30,5天以上,31至40次
渠道K,游戏E,是,女,43,5天以上,2至10次
渠道K,游戏C,否,男,57,5天以上,31至40次
渠道D,游戏A,否,女,37,5天以上,31至40次
渠道H,游戏A,否,女,28,3天,31至40次
渠道M,游戏C,否,女,30,2天,31至40次
渠道L,游戏C,是,男,34,5天以上,11至20次
渠道G,游戏E,否,男,29,5天以上,11至20次
渠道K,游戏C,是,男,48,5天以上,51至60次
渠道M,游戏C,是,男,37,5天以上,31至40次
渠道E,游戏A,否,女,48,5天以上,31至40次
渠道I,游戏E,否,男,32,3天,2至10次
渠道E,游戏C,是,男,76,5天以上,31至40次
渠道E,游戏C,是,男,44,5天以上,31至40次
渠道K,游戏E,否,女,47,5天以上,51至60次
渠道O,游戏E,否,女,20,5天以上,31至40次
渠道D,游戏E,否,男,29,5天以上,31至40次
渠道D,游戏C,是,男,32,5天以上,41至50次
渠道A,游戏E,否,女,17,5天以上,1次
渠道G,游戏E,否,男,30,5天以上,31至40次
渠道B,游戏E,否,女,31,5天以上,11至20次
渠道G,游戏C,否,男,42,5天以上,31至40次
渠道M,游戏E,否,男,24,5天以上,31至40次
渠道K,游戏C,是,男,38,5天以上,31至40次
渠道I,游戏C,是,男,56,5天以上,51至60次
渠道M,游戏C,否,女,28,5天以上,31至40次
渠道H,游戏E,否,女,36,5天以上,31至40次
渠道G,游戏C,否,男,53,5天以上,31至40次
渠道M,游戏C,否,男,56,5天以上,41至50次
渠道D,游戏C,是,男,49,3天,11至20次
渠道M,游戏C,否,男,55,5天以上,31至40次
渠道D,游戏E,否,男,22,5天以上,31至40次
渠道I,游戏E,否,女,21,5天以上,31至40次
渠道E,游戏C,否,男,40,5天以上,31至40次
渠道E,游戏E,否,男,30,3天,31至40次
渠道K,游戏C,是,男,29,5天以上,61-100次
渠道I,游戏E,否,男,19,3天,31至40次
渠道E,游戏C,是,女,47,5天以上,31至40次
渠道B,游戏E,否,女,20,5天以上,31至40次
渠道B,游戏C,是,男,31,5天以上,31至40次
渠道A,游戏C,否,男,35,5天以上,1次
渠道D,游戏A,否,男,39,5天以上,31至40次
渠道M,游戏E,否,女,28,5天以上,31至40次
渠道I,游戏E,否,女,24,5天以上,31至40次
渠道D,游戏C,否,男,38,5天以上,51至60次
渠道M,游戏C,否,男,37,5天以上,31至40次
渠道O,游戏A,否,女,46,3天,31至40次
渠道K,游戏C,是,男,38,5天以上,2至10次
渠道D,游戏C,否,男,43,5天以上,51至60次
渠道B,游戏C,否,女,27,5天以上,31至40次
渠道M,游戏E,否,男,20,5天以上,31至40次
渠道D,游戏C,是,男,49,2天,31至40次
渠道D,游戏C,否,男,61,5天以上,41至50次
渠道M,游戏E,否,女,27,5天以上,31至40次
渠道I,游戏E,否,男,19,5天以上,31至40次
渠道K,游戏E,是,女,45,5天以上,31至40次
渠道O,游戏E,否,男,70,5天以上,31至40次
渠道P,游戏E,否,女,31,3天,31至40次
渠道I,游戏C,否,男,22,5天以上,31至40次
渠道I,游戏G,否,女,36,5天以上,31至40次
渠道D,游戏C,否,男,64,5天以上,31至40次
渠道A,游戏A,否,女,43,5天以上,1次
渠道B,游戏A,否,女,47,5天以上,11至20次
渠道B,游戏E,否,女,34,5天以上,31至40次
渠道E,游戏E,否,女,33,2天,31至40次
渠道D,游戏E,否,男,21,5天以上,31至40次
渠道A,游戏A,是,男,52,5天以上,1次
渠道D,游戏C,否,男,48,5天以上,31至40次
渠道G,游戏E,否,男,23,5天以上,31至40次
渠道M,游戏F,否,男,71,3天,51至60次
渠道D,游戏A,否,男,29,5天以上,31至40次
渠道I,游戏F,否,男,42,3天,31至40次
渠道A,游戏A,否,女,68,5天以上,1次
渠道I,游戏E,否,女,25,5天以上,31至40次
渠道E,游戏A,否,女,44,2天,41至50次
渠道E,游戏E,否,女,28,2天,31至40次
渠道M,游戏C,是,男,45,5天以上,51至60次
渠道I,游戏A,否,女,36,5天以上,31至40次
渠道E,游戏E,否,男,39,5天以上,2至10次
渠道L,游戏G,否,男,46,5天以上,61-100次
渠道G,游戏E,否,男,18,5天以上,31至40次
渠道K,游戏G,否,女,66,5天以上,11至20次
渠道I,游戏E,否,男,27,5天以上,31至40次
渠道L,游戏C,否,男,28,5天以上,61-100次
渠道M,游戏C,是,男,51,5天以上,31至40次
渠道D,游戏E,否,男,27,5天以上,31至40次
渠道K,游戏C,是,男,28,5天以上,61-100次
渠道M,游戏D,否,女,27,5天以上,31至40次
渠道D,游戏E,否,男,21,3天,31至40次
渠道G,游戏E,否,男,34,3天,31至40次
渠道I,游戏E,否,男,18,5天以上,31至40次
渠道K,游戏C,否,男,33,5天以上,31至40次
渠道E,游戏C,是,男,44,3天,11至20次
渠道B,游戏A,否,女,43,5天以上,31至40次
渠道D,游戏E,否,男,30,3天,31至40次
渠道H,游戏C,是,男,40,5天以上,31至40次
渠道B,游戏C,是,男,37,5天以上,2至10次
渠道B,游戏C,否,男,34,3天,31至40次
渠道E,游戏A,否,女,41,5天以上,51至60次
渠道A,游戏A,否,女,53,5天以上,1次
渠道K,游戏C,否,女,31,5天以上,31至40次
渠道K,游戏C,是,男,58,5天以上,61-100次
渠道H,游戏A,否,女,38,3天,31至40次
渠道H,游戏C,否,男,24,5天以上,31至40次
渠道D,游戏C,否,男,41,3天,11至20次
渠道O,游戏C,否,男,47,5天以上,31至40次
渠道O,游戏C,否,男,41,5天以上,2至10次
渠道P,游戏C,否,男,23,5天以上,31至40次
渠道D,游戏A,否,男,36,5天以上,31至40次
渠道E,游戏E,是,女,40,5天以上,2至10次
渠道K,游戏C,是,男,35,5天以上,31至40次
渠道M,游戏E,否,男,24,5天以上,51至60次
渠道K,游戏E,否,女,26,5天以上,31至40次
渠道A,游戏E,否,男,19,5天以上,1次
渠道E,游戏C,是,男,51,5天以上,31至40次
渠道K,游戏E,否,女,42,5天以上,11至20次
渠道B,游戏A,否,女,37,5天以上,61-100次
渠道M,游戏E,否,女,18,5天以上,31至40次
渠道I,游戏C,是,男,36,3天,31至40次
渠道D,游戏A,否,男,35,5天以上,31至40次
渠道M,游戏C,是,女,58,5天以上,41至50次
渠道M,游戏E,否,女,17,5天以上,31至40次
渠道P,游戏C,否,男,44,3天,11至20次
渠道D,游戏C,是,男,37,5天以上,31至40次
渠道M,游戏E,否,女,35,1天,31至40次
渠道D,游戏C,否,男,60,2天,31至40次
渠道H,游戏C,是,男,54,5天以上,41至50次
渠道E,游戏E,是,男,37,3天,31至40次
渠道M,游戏A,否,女,50,5天以上,31至40次
渠道M,游戏C,否,男,38,5天以上,31至40次
渠道K,游戏C,否,男,45,5天以上,31至40次
渠道D,游戏E,否,男,25,5天以上,31至40次
渠道G,游戏C,否,男,31,5天以上,31至40次
渠道A,游戏A,否,男,64,5天以上,1次
渠道I,游戏E,否,男,90,3天,31至40次
渠道B,游戏C,否,男,54,3天,31至40次
渠道H,游戏E,否,女,53,5天以上,11至20次
渠道M,游戏E,否,女,18,5天以上,31至40次
渠道A,游戏A,否,女,60,1天,1次
渠道F,游戏C,否,男,66,5天以上,51至60次
渠道B,游戏G,否,女,75,5天以上,31至40次
渠道B,游戏A,否,女,65,5天以上,31至40次
渠道P,游戏F,否,男,35,3天,31至40次
渠道M,游戏A,否,女,41,3天,31至40次
渠道B,游戏E,否,男,25,5天以上,31至40次
渠道D,游戏A,否,女,33,4天,31至40次
渠道K,游戏E,是,男,28,5天以上,31至40次
渠道I,游戏C,否,男,59,5天以上,61-100次
渠道B,游戏E,否,女,40,5天以上,61-100次
渠道E,游戏C,是,男,41,5天以上,31至40次
渠道E,游戏C,是,男,38,5天以上,11至20次
渠道P,游戏E,否,男,23,5天以上,31至40次
渠道K,游戏C,是,男,40,5天以上,31至40次
渠道I,游戏C,否,女,41,5天以上,51至60次
渠道L,游戏C,否,男,24,5天以上,61-100次
渠道A,游戏E,否,男,20,5天以上,1次
渠道D,游戏A,否,男,38,5天以上,31至40次
渠道B,游戏C,否,男,56,5天以上,31至40次
渠道B,游戏C,是,男,58,5天以上,31至40次
渠道I,游戏E,否,女,32,5天以上,31至40次
渠道O,游戏C,是,男,40,5天以上,31至40次
渠道B,游戏C,否,男,45,5天以上,31至40次
渠道K,游戏C,是,女,41,5天以上,31至40次
渠道B,游戏C,否,女,42,3天,31至40次
渠道I,游戏G,否,女,59,3天,11至20次
渠道B,游戏E,否,男,19,5天以上,11至20次
渠道P,游戏E,否,男,58,5天以上,31至40次
渠道F,游戏C,是,男,42,2天,51至60次
渠道I,游戏E,否,女,20,5天以上,31至40次
渠道I,游戏F,否,女,32,5天以上,31至40次
渠道E,游戏G,否,女,45,5天以上,31至40次
渠道D,游戏A,否,男,50,5天以上,31至40次
渠道K,游戏A,否,女,36,5天以上,31至40次
渠道M,游戏C,否,男,45,5天以上,31至40次
渠道I,游戏E,否,男,17,5天以上,31至40次
渠道M,游戏C,否,男,59,5天以上,31至40次
渠道D,游戏C,否,男,26,5天以上,31至40次
渠道E,游戏C,是,男,37,2天,41至50次
渠道A,游戏E,否,男,19,5天以上,1次
渠道E,游戏C,是,男,64,5天以上,31至40次
渠道K,游戏E,否,女,33,5天以上,31至40次
渠道D,游戏C,是,女,33,5天以上,31至40次
渠道E,游戏C,是,男,61,5天以上,31至40次
渠道I,游戏E,否,男,17,5天以上,31至40次
渠道F,游戏C,否,男,50,5天以上,51至60次
渠道K,游戏E,否,男,27,5天以上,11至20次
渠道K,游戏A,否,女,30,5天以上,31至40次
渠道G,游戏C,否,男,43,3天,31至40次
渠道D,游戏C,是,男,44,5天以上,31至40次
渠道E,游戏E,否,女,35,5天以上,31至40次
渠道O,游戏E,否,女,25,5天以上,31至40次
渠道H,游戏C,是,女,24,5天以上,31至40次
渠道K,游戏E,否,女,22,5天以上,31至40次
渠道D,游戏C,是,男,42,5天以上,11至20次
渠道M,游戏A,否,女,34,3天,31至40次
渠道K,游戏A,否,女,60,5天以上,31至40次
渠道G,游戏E,否,男,21,5天以上,31至40次
渠道M,游戏C,是,男,57,5天以上,2至10次
渠道K,游戏C,是,男,41,5天以上,31至40次
渠道I,游戏A,否,男,50,5天以上,31至40次
渠道E,游戏E,否,女,25,5天以上,31至40次
渠道D,游戏C,否,男,50,5天以上,31至40次
渠道K,游戏C,否,男,36,5天以上,31至40次
渠道K,游戏A,否,女,31,5天以上,31至40次
渠道L,游戏E,否,男,29,5天以上,11至20次
渠道M,游戏E,否,男,21,5天以上,31至40次
渠道O,游戏E,否,女,27,3天,31至40次
渠道P,游戏C,否,男,65,5天以上,31至40次
渠道M,游戏A,否,女,37,5天以上,41至50次
渠道A,游戏C,否,女,39,2天,1次
渠道D,游戏E,否,男,24,5天以上,31至40次
渠道M,游戏A,否,男,38,5天以上,31至40次
渠道B,游戏C,是,男,48,5天以上,31至40次
渠道I,游戏E,否,女,21,2天,31至40次
渠道P,游戏C,是,男,31,5天以上,31至40次
渠道M,游戏C,是,男,55,5天以上,31至40次
渠道B,游戏C,否,女,24,2天,31至40次
渠道B,游戏A,否,女,43,5天以上,31至40次
渠道O,游戏E,否,男,26,5天以上,31至40次
渠道K,游戏E,否,女,46,5天以上,31至40次
渠道B,游戏C,是,男,35,5天以上,31至40次
渠道F,游戏C,是,男,41,5天以上,41至50次
渠道M,游戏E,否,男,26,5天以上,31至40次
渠道E,游戏C,是,男,34,2天,31至40次
渠道A,游戏E,否,女,19,3天,1次
渠道K,游戏A,是,女,36,3天,51至60次
渠道M,游戏E,否,男,22,5天以上,31至40次
渠道H,游戏E,否,男,24,5天以上,31至40次
渠道M,游戏C,否,男,77,5天以上,51至60次
渠道H,游戏C,否,女,22,5天以上,31至40次
渠道O,游戏E,否,女,29,5天以上,31至40次
渠道I,游戏G,否,女,62,5天以上,31至40次
渠道E,游戏C,否,男,39,5天以上,51至60次
渠道D,游戏C,否,男,43,5天以上,31至40次
渠道P,游戏A,否,男,35,5天以上,31至40次
渠道E,游戏E,否,女,29,5天以上,31至40次
渠道D,游戏C,否,男,76,5天以上,51至60次
渠道F,游戏C,否,男,63,5天以上,51至60次
渠道A,游戏E,否,女,23,3天,1次
渠道K,游戏C,是,女,43,5天以上,31至40次
渠道G,游戏C,否,男,58,5天以上,51至60次
渠道P,游戏E,否,男,66,5天以上,31至40次
渠道D,游戏E,否,男,41,3天,31至40次
渠道B,游戏E,否,男,26,5天以上,31至40次
渠道I,游戏E,否,男,47,5天以上,31至40次
渠道B,游戏C,否,男,55,5天以上,11至20次
渠道P,游戏C,否,男,53,5天以上,31至40次
渠道I,游戏E,否,男,17,5天以上,31至40次
渠道D,游戏E,否,男,30,5天以上,31至40次
渠道K,游戏E,否,男,49,5天以上,31至40次
渠道M,游戏E,否,男,19,3天,31至40次
渠道I,游戏C,否,男,45,3天,31至40次
渠道M,游戏E,否,男,26,5天以上,31至40次
渠道D,游戏C,是,男,38,5天以上,31至40次
渠道L,游戏C,是,男,36,5天以上,61-100次
渠道F,游戏E,否,男,33,5天以上,31至40次
渠道L,游戏E,否,女,22,3天,61-100次
渠道M,游戏E,否,男,43,5天以上,51至60次
渠道A,游戏C,否,男,67,5天以上,1次
渠道A,游戏A,否,女,30,5天以上,1次
渠道I,游戏D,否,男,56,5天以上,31至40次
渠道K,游戏E,否,男,31,5天以上,31至40次
渠道E,游戏C,是,男,33,5天以上,31至40次
渠道I,游戏C,否,男,26,5天以上,31至40次
渠道E,游戏C,是,男,33,5天以上,31至40次
渠道P,游戏C,否,男,46,5天以上,11至20次
渠道A,游戏C,是,男,59,5天以上,1次
渠道B,游戏C,是,男,38,5天以上,2至10次
渠道I,游戏G,否,男,65,4天,31至40次
渠道O,游戏C,是,男,40,5天以上,31至40次
渠道B,游戏C,否,女,42,5天以上,31至40次
渠道D,游戏C,否,男,26,5天以上,51至60次
渠道I,游戏C,否,女,36,5天以上,31至40次
渠道K,游戏C,是,男,62,5天以上,31至40次
渠道P,游戏C,否,男,43,5天以上,31至40次
渠道E,游戏A,是,男,43,5天以上,31至40次
渠道M,游戏D,否,男,22,5天以上,31至40次
渠道D,游戏C,否,男,28,5天以上,31至40次
渠道M,游戏C,否,男,56,5天以上,51至60次
渠道M,游戏E,否,女,22,5天以上,31至40次
渠道E,游戏A,是,女,57,5天以上,31至40次
渠道M,游戏A,否,女,39,5天以上,31至40次
渠道B,游戏E,否,女,26,5天以上,2至10次
渠道I,游戏E,否,男,17,5天以上,31至40次
渠道H,游戏C,是,男,40,5天以上,61-100次
渠道H,游戏C,否,男,45,3天,31至40次
渠道D,游戏E,否,男,44,3天,31至40次
渠道B,游戏E,否,女,20,5天以上,11至20次
渠道D,游戏C,否,女,33,5天以上,31至40次
渠道M,游戏E,否,男,23,5天以上,31至40次
渠道E,游戏A,否,男,46,5天以上,51至60次
渠道M,游戏C,否,男,38,5天以上,31至40次
渠道P,游戏A,否,男,54,5天以上,31至40次
渠道D,游戏A,否,女,46,5天以上,31至40次
渠道D,游戏C,否,男,25,5天以上,31至40次
渠道M,游戏A,否,女,46,5天以上,31至40次
渠道P,游戏C,否,女,36,5天以上,11至20次
渠道I,游戏E,否,女,23,5天以上,31至40次
渠道H,游戏F,否,男,29,5天以上,31至40次
渠道B,游戏C,是,女,44,5天以上,31至40次
渠道B,游戏E,否,女,19,5天以上,31至40次
渠道I,游戏E,否,女,19,5天以上,31至40次
渠道I,游戏C,是,女,35,5天以上,31至40次
渠道D,游戏E,否,男,27,5天以上,31至40次
渠道D,游戏F,否,男,46,5天以上,51至60次
渠道E,游戏C,是,男,34,5天以上,61-100次
渠道I,游戏E,否,女,34,5天以上,31至40次
渠道O,游戏C,否,男,44,5天以上,31至40次
渠道G,游戏A,否,女,45,5天以上,31至40次
渠道A,游戏E,否,女,20,5天以上,1次
渠道E,游戏C,是,男,25,5天以上,31至40次
渠道E,游戏C,是,男,52,5天以上,41至50次
渠道G,游戏E,否,男,20,5天以上,31至40次
渠道I,游戏E,否,女,28,5天以上,31至40次
渠道L,游戏C,是,男,50,5天以上,61-100次
渠道O,游戏A,否,女,34,5天以上,31至40次
渠道G,游戏C,否,男,28,4天,31至40次
渠道E,游戏C,是,男,41,5天以上,31至40次
渠道B,游戏C,否,男,28,5天以上,31至40次
渠道D,游戏C,否,男,46,5天以上,51至60次
渠道A,游戏C,是,女,28,5天以上,1次
渠道E,游戏C,否,男,32,5天以上,31至40次
渠道I,游戏A,否,女,41,3天,11至20次
渠道G,游戏E,否,女,24,3天,31至40次
渠道E,游戏A,否,女,33,5天以上,31至40次
渠道E,游戏C,是,男,46,5天以上,31至40次
渠道H,游戏C,否,男,31,5天以上,61-100次
渠道D,游戏A,是,男,35,5天以上,31至40次
渠道H,游戏C,否,男,52,5天以上,31至40次
渠道I,游戏E,否,女,30,5天以上,31至40次
渠道H,游戏F,否,男,34,3天,11至20次
渠道P,游戏A,否,女,34,5天以上,61-100次
渠道M,游戏C,否,男,20,5天以上,31至40次
渠道G,游戏E,否,男,17,5天以上,31至40次
渠道E,游戏C,是,女,32,5天以上,61-100次
渠道F,游戏A,否,男,29,5天以上,31至40次
渠道D,游戏E,否,女,33,5天以上,31至40次
渠道P,游戏C,否,男,25,5天以上,31至40次
渠道K,游戏E,否,男,36,5天以上,2至10次
渠道G,游戏E,否,男,23,5天以上,31至40次
渠道E,游戏C,是,男,63,5天以上,41至50次
渠道K,游戏C,否,男,47,5天以上,11至20次
渠道A,游戏G,否,男,80,5天以上,1次
渠道A,游戏E,否,男,17,5天以上,1次
渠道K,游戏D,否,女,40,5天以上,51至60次
渠道I,游戏C,是,女,30,5天以上,31至40次
渠道D,游戏E,否,男,27,2天,31至40次
渠道K,游戏C,是,男,33,5天以上,31至40次
渠道F,游戏E,否,男,34,3天,11至20次
渠道L,游戏E,否,女,34,5天以上,11至20次
渠道B,游戏C,否,男,23,5天以上,31至40次
渠道B,游戏C,否,女,42,5天以上,11至20次
渠道K,游戏E,否,男,29,5天以上,31至40次
渠道B,游戏A,否,女,45,5天以上,31至40次
渠道C,游戏E,否,男,24,5天以上,2至10次
渠道K,游戏C,是,男,44,5天以上,31至40次
渠道D,游戏E,否,男,27,5天以上,31至40次
渠道M,游戏E,否,男,20,5天以上,31至40次
渠道E,游戏G,否,女,44,3天,31至40次
渠道D,游戏C,否,男,51,1天,31至40次
渠道H,游戏C,否,男,20,5天以上,31至40次
渠道A,游戏E,否,女,17,5天以上,1次
渠道H,游戏E,否,女,19,3天,31至40次
渠道D,游戏C,是,男,45,5天以上,41至50次
渠道D,游戏C,是,男,60,5天以上,31至40次
渠道E,游戏C,是,男,42,3天,31至40次
渠道M,游戏C,是,女,44,5天以上,51至60次
渠道H,游戏C,是,男,40,2天,31至40次
渠道E,游戏C,否,女,30,5天以上,31至40次
渠道P,游戏C,否,男,38,3天,31至40次
渠道P,游戏C,否,男,23,5天以上,31至40次
渠道A,游戏C,否,男,32,5天以上,1次
渠道F,游戏E,否,男,44,5天以上,31至40次
渠道P,游戏C,否,男,54,3天,11至20次
渠道K,游戏C,否,男,32,5天以上,31至40次
渠道D,游戏D,否,男,50,5天以上,31至40次
渠道O,游戏E,否,女,24,5天以上,31至40次
渠道B,游戏C,否,女,37,5天以上,31至40次
渠道P,游戏A,否,男,52,5天以上,31至40次
渠道P,游戏C,否,男,38,5天以上,31至40次
渠道E,游戏C,是,男,49,5天以上,31至40次
渠道O,游戏C,是,女,30,5天以上,31至40次
渠道K,游戏E,是,男,60,5天以上,31至40次
渠道A,游戏E,否,男,22,5天以上,1次
渠道D,游戏E,否,男,35,5天以上,31至40次
渠道P,游戏E,否,男,30,5天以上,31至40次
渠道I,游戏A,否,女,67,5天以上,31至40次
渠道D,游戏E,否,女,46,5天以上,31至40次
渠道I,游戏E,否,男,17,5天以上,31至40次
渠道G,游戏E,否,男,22,5天以上,31至40次
渠道I,游戏E,否,男,27,5天以上,31至40次
渠道I,游戏E,否,女,23,5天以上,31至40次
渠道D,游戏C,否,男,33,5天以上,31至40次
渠道D,游戏C,否,男,43,5天以上,51至60次
渠道K,游戏E,否,男,28,5天以上,61-100次
渠道D,游戏D,否,女,41,5天以上,31至40次
渠道A,游戏E,否,男,52,3天,1次
渠道B,游戏D,否,女,25,3天,31至40次
渠道A,游戏C,否,男,63,5天以上,1次
渠道P,游戏C,否,男,59,5天以上,11至20次
渠道K,游戏A,否,女,45,5天以上,11至20次
渠道M,游戏C,是,男,38,5天以上,31至40次
渠道I,游戏E,否,女,40,5天以上,31至40次
渠道B,游戏A,否,男,46,5天以上,2至10次
渠道E,游戏E,否,女,35,5天以上,31至40次
渠道K,游戏A,否,女,34,5天以上,31至40次
渠道D,游戏E,否,男,33,5天以上,31至40次
渠道B,游戏A,否,女,41,5天以上,31至40次
渠道H,游戏E,否,男,20,5天以上,31至40次
渠道I,游戏E,否,男,23,5天以上,31至40次
渠道K,游戏E,否,女,26,5天以上,31至40次
渠道A,游戏C,否,男,72,5天以上,1次
渠道F,游戏E,否,男,23,5天以上,11至20次
渠道P,游戏C,否,男,62,5天以上,11至20次
渠道B,游戏C,否,男,52,5天以上,31至40次
渠道I,游戏A,否,女,58,5天以上,31至40次
渠道M,游戏E,否,女,25,5天以上,31至40次
渠道E,游戏E,否,男,24,3天,31至40次
渠道L,游戏E,否,男,19,5天以上,31至40次
渠道E,游戏C,否,男,43,5天以上,31至40次
渠道B,游戏F,否,女,47,3天,11至20次
渠道I,游戏A,否,女,39,5天以上,31至40次
渠道G,游戏D,否,男,49,5天以上,31至40次
渠道A,游戏G,否,女,53,3天,1次
渠道D,游戏E,否,男,32,5天以上,31至40次
渠道K,游戏C,是,男,34,5天以上,31至40次
渠道D,游戏A,否,男,28,5天以上,31至40次
渠道A,游戏G,否,女,57,5天以上,1次
渠道B,游戏E,否,女,25,1天,31至40次
渠道A,游戏E,否,男,20,5天以上,1次
渠道A,游戏E,否,女,21,5天以上,1次
渠道K,游戏C,是,男,34,5天以上,31至40次
渠道E,游戏C,是,男,38,5天以上,41至50次
渠道E,游戏C,是,男,50,5天以上,31至40次
渠道G,游戏A,否,男,24,3天,11至20次
渠道O,游戏C,是,男,37,5天以上,11至20次
渠道H,游戏A,是,男,44,5天以上,31至40次
渠道M,游戏C,否,女,28,5天以上,31至40次
渠道E,游戏C,是,男,42,5天以上,31至40次
渠道B,游戏A,否,女,74,5天以上,31至40次
渠道D,游戏C,否,男,38,5天以上,51至60次
渠道K,游戏C,否,男,44,5天以上,51至60次
渠道H,游戏A,否,女,44,4天,31至40次
渠道H,游戏E,否,男,26,5天以上,31至40次
渠道I,游戏C,否,男,36,3天,31至40次
渠道E,游戏C,是,女,41,5天以上,31至40次
渠道K,游戏C,是,男,67,5天以上,31至40次
渠道O,游戏C,否,男,39,5天以上,11至20次
渠道J,游戏G,否,女,57,3天,31至40次
渠道D,游戏F,否,男,29,5天以上,31至40次
渠道F,游戏E,否,女,31,5天以上,41至50次
渠道A,游戏E,否,女,34,3天,1次
渠道P,游戏C,否,男,44,5天以上,31至40次
渠道K,游戏E,否,男,29,5天以上,31至40次
渠道G,游戏E,否,女,30,5天以上,31至40次
渠道P,游戏E,否,男,27,5天以上,31至40次
渠道M,游戏C,否,男,27,5天以上,31至40次
