用户id,性别,等级,站内好友数,经验值,积分,登录总次数,玩牌局数,赢牌局数,身上货币量
7789562,0,0,0,0,0,2,,,800
7789560,0,0,2,0,0,1,,,0
7789555,0,3,0,72,0,2,7,4,1090
7789553,1,3,0,61,0,2,8,2,1800
7789550,0,4,0,148,0,2,18,5,100
7789548,0,6,0,567,5,3,71,12,0
7789546,0,4,3,156,0,2,20,4,1000
7789541,0,2,0,41,0,2,8,,320
7789538,0,0,0,0,0,2,,,800
7789537,0,4,5,249,0,2,34,10,50
7789536,0,0,0,0,0,1,,,0
7789534,0,0,0,0,0,1,,,0
7789530,0,0,1,0,0,2,,,800
7789526,0,0,6,0,0,1,,,0
7789522,0,2,2,21,0,2,2,,790
7789521,1,0,2,0,0,1,,,0
7789520,0,2,0,11,0,2,2,,990
7789518,0,0,0,0,0,1,,,0
7789517,0,4,4,237,5,3,35,6,100
7789515,0,0,0,0,5,1,,,0
7789514,0,0,1,0,0,2,,,800
7789513,0,0,1,0,0,2,,,800
7789512,0,0,8,0,0,1,,,0
7789511,0,0,1,0,0,2,,,800
7789509,0,2,1,16,0,2,5,,0
7789504,0,0,0,0,0,2,,,800
7789503,0,2,1,16,0,2,5,,0
7789501,0,0,5,0,0,1,,,0
7789498,0,6,0,630,25,7,120,23,0
7789497,0,3,2,45,0,2,5,1,710
7789491,0,0,1,0,0,2,,,200
7789490,0,2,1,16,0,2,5,,0
7789488,0,3,0,91,0,2,12,1,1720
7789487,0,0,1,0,0,2,,,200
7789486,1,2,0,8,0,2,2,,950
7789484,0,6,3,552,10,4,90,23,7464
7789481,1,5,3,296,5,3,64,19,2060
7789478,0,0,0,0,0,2,,,800
7789474,0,4,1,258,0,2,37,13,1250
7789466,0,2,0,8,0,2,2,,740
7789460,0,2,1,21,0,2,2,,790
7789459,0,1,0,3,0,2,1,,800
7789457,1,3,0,92,0,2,4,,2420
7789456,0,0,1,0,0,2,,,800
7789447,1,2,2,18,0,2,1,,990
7789446,0,5,1,445,6,3,74,32,50
7789445,0,0,5,0,0,1,,,0
7789440,1,3,6,57,0,2,3,1,800
7789439,0,8,2,1637,16,5,420,143,0
7789438,1,0,1,0,0,1,,,0
7789433,0,2,0,19,0,2,3,,600
7789429,0,0,0,0,0,1,,,0
7789428,1,1,1,3,0,2,2,,780
7789427,0,0,0,0,0,1,,,0
7789421,0,0,0,0,0,1,,,0
7789420,1,2,1,18,0,2,1,,980
7789418,0,4,0,167,0,2,25,12,370
7789416,0,2,3,31,0,2,2,,980
7789415,0,0,1,0,0,2,,,800
7789413,0,0,1,0,0,1,,,0
7789414,0,0,0,0,0,1,,,0
7789412,0,0,0,0,0,1,,,0
7789411,0,0,2,0,0,1,,,0
7789410,0,0,1,0,0,1,,,0
7789408,0,0,1,0,0,1,,,0
7789406,0,0,0,0,0,1,,,0
7789405,0,0,1,0,0,1,,,0
7789403,0,0,2,0,0,1,,,0
7789398,1,2,0,8,0,2,2,,970
7789392,0,3,1,88,0,2,11,3,185
7789391,0,0,0,0,0,2,,,800
7789385,1,2,0,8,0,2,2,,970
7789383,1,0,2,0,0,2,,,800
7789382,0,0,1,0,0,1,,,0
7789380,0,4,3,189,0,2,22,7,300
7789377,0,0,3,0,0,1,,,0
7789374,0,0,6,0,0,1,,,0
7789371,1,2,2,26,5,3,3,,1080
7789364,0,0,3,0,0,1,,,0
7789360,1,0,0,0,0,2,,,800
7789357,1,0,1,0,0,2,,,800
7789353,0,0,7,0,0,1,,,0
7789352,0,0,7,0,0,1,,,0
7789351,0,0,1,0,0,1,,,0
7789350,0,1,0,3,0,2,1,,800
7789349,0,0,3,0,0,2,,,800
7789348,0,0,2,0,0,1,,,0
7789343,0,6,0,701,6,3,128,36,520
7789344,0,3,0,89,0,2,10,5,1200
7789341,1,0,0,0,0,2,,,800
7789340,0,3,1,74,5,3,5,1,100
7789339,0,0,1,0,0,2,,,800
7789336,0,2,0,23,0,2,6,1,1120
7789335,0,2,1,16,0,2,3,,970
7789333,0,3,3,79,10,4,14,3,1149
7789331,0,3,1,83,0,2,7,2,1580
7789325,0,7,0,935,0,2,225,65,0
7789323,0,6,3,698,10,4,79,29,0
7789321,0,0,0,0,0,1,,,0
7789320,0,0,1,0,0,1,,,0
7789318,0,0,1,0,0,1,,,0
7789317,0,0,4,0,0,1,,,0
7789314,0,0,2,0,0,1,,,0
7789312,0,0,1,0,5,1,,,0
7789311,0,0,0,0,0,1,,,0
7789310,0,0,1,0,0,1,,,0
7789309,0,0,2,0,0,1,,,0
7789307,0,2,0,24,0,2,4,,880
7789305,0,5,2,319,0,2,51,18,9458
7789304,0,0,1,0,0,1,,,0
7789302,1,3,2,80,0,2,11,1,1925
7789301,0,7,0,778,10,3,94,51,12630
7789294,1,6,2,476,0,2,38,8,13302
7789291,0,4,0,246,5,3,43,15,390
7789287,0,3,3,71,5,3,9,2,0
7789285,0,0,1,0,0,2,,,800
7789283,0,5,0,364,0,2,27,4,0
7789281,0,3,2,46,0,2,8,,190
7789278,1,1,0,3,0,2,2,,780
7789275,0,2,2,21,5,3,2,,940
7789267,0,6,0,695,20,6,74,20,57
7789264,1,2,0,5,5,3,1,,980
7789260,0,4,0,210,5,3,32,3,190
7789258,0,0,0,0,0,2,,,800
7789259,0,0,1,0,0,1,,,0
7789256,0,6,3,569,1,2,68,22,50
7789245,0,2,19,22,0,2,4,,1250
7789240,0,4,3,133,0,2,14,9,1300
7789238,1,11,1,3440,27,7,890,197,688439
7789233,0,2,0,16,0,2,3,,960
7789232,1,0,4,0,0,1,,,0
7789229,0,0,6,0,0,1,,,0
7789225,0,0,2,0,0,2,,,800
7789221,0,0,0,0,0,1,,,0
7789220,1,2,0,26,0,2,3,1,1190
7789219,0,2,2,38,0,2,6,,130
7789218,0,0,0,0,0,2,,,800
7789214,0,0,3,0,0,1,,,0
7789210,0,7,0,1025,7,3,188,45,0
7789208,0,2,0,21,0,2,3,,1090
7789207,0,0,1,0,0,1,,,0
7789206,0,2,1,24,0,2,4,,860
7789204,0,3,0,96,0,2,9,4,840
7789203,1,8,1,1184,6,3,167,45,0
7789202,0,5,1,277,6,3,37,10,200
7789201,0,0,2,0,5,3,,,800
7789198,1,0,1,0,0,1,,,0
7789193,0,6,0,478,5,3,95,32,11134
7789192,0,4,2,151,0,2,19,8,1620
7789184,0,0,0,0,0,2,,,800
7789180,0,6,1,562,11,4,63,18,100
7789177,0,0,2,0,0,1,,,0
7789175,0,0,0,0,0,1,,,0
7789170,1,2,0,29,0,2,5,2,1000
7789169,0,5,0,394,0,2,42,13,0
7789167,1,2,2,18,0,2,1,,990
7789166,0,3,0,93,0,2,13,3,1950
7789165,0,0,0,0,0,1,,,0
7789163,0,0,2,0,5,1,,,0
7789161,0,3,0,57,10,4,8,1,50
7789157,1,2,0,8,0,2,1,,1000
7789143,1,4,2,128,0,2,20,5,800
7789138,0,0,0,0,0,1,,,0
7789137,1,0,1,0,0,1,,,0
7789135,0,3,2,54,0,2,6,3,1310
7789134,0,4,2,164,0,2,25,14,1661
7789132,0,0,2,0,0,1,,,0
7789124,0,6,1,620,15,5,65,17,50400
7789123,1,2,1,29,0,2,3,,1070
7789122,0,2,0,38,0,2,6,,100
7789118,0,0,0,0,0,1,,,0
7789115,1,8,0,1336,30,5,179,40,7193
7789114,0,0,2,0,0,1,,,0
7789112,0,0,0,0,0,1,,,0
7789111,0,0,1,0,0,1,,,0
7789109,0,0,0,0,0,1,,,0
7789108,0,0,0,0,0,1,,,0
7789107,0,0,0,0,0,1,,,0
7789105,0,0,3,0,0,1,,,0
7789104,0,0,3,0,0,1,,,0
7789102,0,0,0,0,0,1,,,0
7789101,0,0,0,0,0,1,,,0
7789099,1,0,1,0,0,2,,,800
7789094,0,3,1,91,0,2,4,,1440
7789086,0,7,1,941,16,5,178,48,1000
7789083,0,5,1,406,0,2,38,13,50
7789079,1,2,0,14,0,2,3,,570
7789078,1,0,0,0,0,2,,,800
7789077,0,0,3,0,0,2,,,800
7789076,0,4,1,159,0,2,10,,3500
7789074,0,2,3,21,0,2,4,,950
7789072,0,0,0,0,0,2,,,800
7789071,0,2,0,14,0,2,3,,770
7789066,1,5,0,286,0,2,42,15,1000
7789063,0,2,1,18,0,2,1,,990
7789054,0,5,1,333,10,4,64,10,10
7789051,0,4,0,184,0,2,22,8,120
7789043,1,2,0,8,0,2,2,,980
7789035,0,5,0,445,0,2,87,23,0
7789034,0,2,0,21,0,2,4,1,770
7789033,1,1,1,3,0,2,1,,800
7789026,0,2,2,8,0,2,1,,1000
7789018,1,1,2,3,0,2,1,,790
7789016,0,3,0,112,0,2,15,4,140
7789013,0,3,0,72,0,2,9,1,1080
7789011,0,0,2,0,5,1,,,0
7789002,0,4,1,142,5,3,21,6,50
7789000,1,2,0,5,0,2,1,,980
7788999,1,2,0,12,0,2,2,1,1010
7788998,0,3,0,48,0,2,7,,1360
7788996,0,3,3,61,0,2,5,3,1620
7788993,0,4,0,211,0,2,37,9,840
7788991,0,5,1,405,20,6,44,10,7960
7788986,0,0,1,0,0,1,,,0
7788987,0,0,0,0,0,1,,,0
7788983,1,0,0,0,0,1,,,0
7788977,0,2,0,5,0,2,1,,980
7788972,0,0,1,0,0,2,,,800
7788958,0,2,0,8,0,2,2,,980
7788957,1,2,1,10,0,2,1,,0
7788952,0,5,0,458,5,3,90,40,0
7788951,0,0,1,0,0,2,,,800
7788950,0,0,6,0,0,1,,,0
7788949,0,3,0,62,0,2,8,1,550
7788935,1,12,0,4385,60,7,1629,264,2570648
7788923,0,6,0,576,0,2,78,12,0
7788919,0,0,1,0,0,2,,,800
7788918,1,6,2,493,0,2,49,19,28395
7788915,0,4,1,237,0,2,40,20,360
7788913,0,2,0,14,0,2,4,,960
7788912,0,5,0,375,0,2,73,19,0
7788910,0,2,0,8,0,2,1,,890
7788909,0,0,13,0,0,1,,,0
7788905,0,2,1,18,0,2,1,,970
7788903,0,0,2,0,0,1,,,0
7788901,0,6,1,9,20,4,60,29,117319842
7788895,0,3,6,106,0,2,12,4,900
7788889,0,0,1,0,0,1,,,0
7788888,1,2,2,18,0,2,3,1,990
7788886,0,3,0,106,0,2,12,8,1030
7788885,0,0,0,0,0,1,,,0
7788883,0,0,1,0,0,1,,,0
7788881,0,0,5,0,0,1,,,0
7788880,0,0,3,0,0,1,,,0
7788879,0,0,1,0,0,1,,,0
7788876,0,5,0,367,0,2,72,33,0
7788875,0,2,3,10,0,2,,,800
7788867,0,0,1,0,0,1,,,0
7788863,0,2,1,10,0,2,,,800
7788860,0,2,0,24,0,2,1,1,1720
7788855,0,2,1,8,0,2,2,,980
7788851,0,8,3,1577,29,7,313,126,4445
7788850,0,6,1,563,20,6,107,29,2755
7788842,0,0,3,0,0,1,,,0
7788841,0,0,0,0,15,5,,,800
7788839,0,2,0,5,15,5,1,,980
7788838,0,0,0,0,20,6,,,4800
7788836,0,0,3,0,0,1,,,0
7788830,1,2,0,8,0,2,1,,990
7788829,0,0,0,0,0,1,,,0
7788828,0,3,1,59,0,2,5,1,1580
7788826,0,6,1,496,0,2,53,21,1000
7788825,0,0,2,0,0,2,,,800
7788814,0,4,0,157,0,2,24,10,50
7788813,0,5,0,441,0,2,41,11,0
7788810,0,5,0,435,0,2,52,12,0
7788802,0,6,1,604,1,2,72,18,0
7788798,1,5,1,449,0,2,36,14,0
7788796,0,5,1,454,0,2,43,10,0
7788794,0,5,0,394,0,2,42,7,0
7788791,0,2,0,8,0,2,2,,980
7788790,0,5,1,271,0,2,43,14,3040
7788789,0,4,0,174,0,2,22,6,600
7788784,0,2,1,21,0,2,2,,760
7788782,0,0,1,0,0,1,,,0
7788781,1,0,0,0,0,1,,,0
7788780,0,4,6,162,5,3,12,2,0
7788779,0,5,0,294,0,2,36,15,6296
7788768,0,2,1,20,0,2,1,,980
7788765,0,2,1,15,0,2,,,900
7788760,0,0,0,0,0,1,,,0
7788759,0,0,4,0,0,2,,,800
7788754,0,5,1,301,0,2,45,18,0
7788749,0,3,1,51,0,2,6,2,200
7788747,1,4,0,237,0,2,38,14,0
7788744,0,2,1,10,0,2,1,,780
7788740,1,2,3,15,0,2,1,,980
7788735,0,7,22,865,0,2,175,46,0
7788734,1,8,0,1430,20,4,344,168,0
7788731,0,3,1,100,0,2,6,2,0
7788730,0,8,0,1559,25,7,450,100,13367
7788725,0,2,2,25,0,2,1,1,1020
7788721,0,0,9,0,0,1,,,0
7788719,0,4,1,129,0,2,18,10,0
7788718,1,0,1,0,0,1,,,0
7788715,0,0,1,0,0,1,,,0
7788714,0,3,1,114,0,2,18,9,0
7788712,0,0,2,0,0,1,,,0
7788708,1,0,1,0,0,2,,,800
7788707,0,5,19,380,1,2,61,23,0
7788703,0,5,1,454,0,2,53,16,1150
7788702,0,3,1,115,0,2,12,4,0
7788701,1,10,4,2460,31,5,828,135,44649
7788699,0,0,0,0,0,2,,,800
7788697,0,1,0,3,0,2,2,,770
7788691,0,0,1,0,0,1,,,0
7788689,0,0,0,0,0,2,,,800
7788687,0,0,1,0,0,1,,,0
7788682,0,0,3,0,0,1,,,0
7788677,0,2,1,18,0,2,1,,890
7788676,0,0,0,0,0,1,,,0
7788667,0,2,0,20,5,3,5,,0
7788658,0,0,0,0,0,1,,,0
7788656,0,0,0,0,0,1,,,0
7788655,1,5,1,265,0,2,27,6,3071
7788638,0,6,16,742,11,4,118,40,0
7788632,0,0,1,0,0,2,,,800
7788624,0,4,7,159,15,5,12,1,50
7788622,0,4,0,256,0,2,42,12,180
7788616,0,0,0,0,0,1,,,0
7788614,0,0,0,0,0,1,,,0
7788603,0,0,2,0,0,2,,,800
7788601,0,3,2,83,0,2,10,2,530
7788600,0,0,4,0,0,1,,,0
7788589,0,0,0,0,0,1,,,0
7788587,1,4,0,252,0,2,40,12,0
7788586,0,2,0,20,5,3,4,1,1020
7788584,0,0,1,0,0,1,,,0
7788583,1,0,0,0,0,2,,,800
7788579,0,0,0,0,0,1,,,0
7788578,0,5,0,403,0,2,69,38,530
7788575,0,0,0,0,0,1,,,0
7788573,0,0,1,0,0,1,,,0
7788572,0,0,1,0,0,1,,,0
7788571,0,0,6,0,0,1,,,0
7788570,0,0,1,0,0,1,,,0
7788569,0,0,0,0,0,1,,,0
7788567,0,0,1,0,0,2,,,800
7788566,0,0,1,0,0,1,,,0
7788564,0,0,4,0,0,1,,,0
7788565,0,0,2,0,5,3,,,800
7788562,0,0,0,0,0,1,,,0
7788560,0,0,0,0,0,1,,,0
7788559,0,0,1,0,0,1,,,0
7788557,0,2,3,23,0,2,2,,1110
7788554,0,0,0,0,0,1,,,0
7788553,0,0,0,0,0,1,,,0
7788552,0,0,3,0,0,1,,,0
7788551,1,0,2,0,0,1,,,0
7788550,0,0,0,0,0,1,,,0
7788549,0,0,0,0,0,1,,,0
7788548,0,0,2,0,0,1,,,0
7788547,0,0,1,0,0,1,,,0
7788546,0,0,3,0,0,1,,,0
7788545,0,0,3,0,0,1,,,0
7788544,0,0,0,0,0,1,,,0
7788543,0,0,3,0,0,1,,,0
7788542,0,0,0,0,0,1,,,0
7788541,0,0,0,0,0,1,,,0
7788540,0,0,0,0,0,1,,,0
7788538,0,0,0,0,0,1,,,0
7788536,0,0,0,0,0,1,,,0
7788535,0,0,3,0,0,1,,,0
7788532,0,0,0,0,0,1,,,0
7788531,0,0,1,0,0,1,,,0
7788530,0,0,3,0,0,1,,,0
7788529,0,0,2,0,0,1,,,0
7788528,0,0,1,0,0,2,,,800
7788527,0,0,1,0,0,1,,,0
7788525,0,0,0,0,0,1,,,0
7788524,0,0,2,0,0,1,,,0
7788523,0,0,1,0,0,1,,,0
7788520,0,0,1,0,0,1,,,0
7788519,0,0,1,0,0,1,,,0
7788518,0,0,10,0,0,1,,,0
7788517,0,0,0,0,0,1,,,0
7788516,0,0,0,0,0,1,,,0
7788515,0,5,0,376,0,2,63,12,6450
7788514,0,0,0,0,0,1,,,0
7788513,0,0,4,0,0,1,,,0
7788512,0,0,0,0,0,1,,,0
7788511,0,0,1,0,0,1,,,0
7788510,1,0,1,0,0,1,,,0
7788509,0,0,0,0,0,1,,,0
7788508,0,0,2,0,0,1,,,0
7788507,0,0,0,0,0,1,,,0
7788506,0,0,1,0,0,1,,,0
7788505,0,0,0,0,0,1,,,0
7788504,0,0,5,0,0,1,,,0
7788503,0,0,0,0,0,1,,,0
7788501,0,0,0,0,0,1,,,0
7788502,0,0,0,0,0,1,,,0
7788500,0,0,0,0,0,1,,,0
7788499,1,0,1,0,0,1,,,0
7788497,0,0,4,0,0,1,,,0
7788496,0,0,0,0,0,1,,,0
7788494,0,0,0,0,0,1,,,0
7788493,0,0,0,0,0,1,,,0
7788491,0,0,1,0,0,1,,,0
7788492,0,0,0,0,0,1,,,0
7788490,0,0,0,0,0,1,,,0
7788489,0,0,1,0,0,1,,,0
7788488,0,0,2,0,0,1,,,0
7788487,0,0,4,0,0,1,,,0
7788486,0,0,0,0,0,1,,,0
7788485,0,0,2,0,0,1,,,0
7788483,0,0,0,0,0,1,,,0
7788484,0,0,0,0,0,1,,,0
7788482,0,0,4,0,0,1,,,0
7788481,0,0,2,0,0,1,,,0
7788480,0,0,0,0,0,1,,,0
7788479,0,0,0,0,0,1,,,0
7788478,0,0,0,0,0,1,,,0
7788477,0,0,1,0,0,1,,,0
7788476,0,0,1,0,0,1,,,0
7788475,1,0,1,0,0,1,,,0
7788474,0,0,4,0,0,1,,,0
7788473,0,0,1,0,0,1,,,0
7788472,1,0,3,0,0,1,,,0
7788471,0,0,0,0,0,1,,,0
7788470,0,0,1,0,0,1,,,0
7788468,0,0,2,0,0,1,,,0
7788469,1,0,0,0,0,1,,,0
7788467,0,0,0,0,0,1,,,0
7788466,0,0,0,0,0,1,,,0
7788465,0,0,0,0,0,1,,,0
7788464,0,0,1,0,0,1,,,0
7788463,1,0,2,0,0,1,,,0
7788462,0,0,2,0,0,1,,,0
7788461,0,0,1,0,0,1,,,0
7788460,0,0,1,0,0,1,,,0
7788459,0,0,0,0,0,1,,,0
7788458,0,0,0,0,0,1,,,0
7788454,0,0,0,0,0,1,,,0
7788455,0,0,2,0,0,1,,,0
7788456,0,0,2,0,0,1,,,0
7788457,0,0,1,0,0,1,,,0
7788453,1,0,1,0,0,1,,,0
7788451,0,0,2,0,0,1,,,0
7788452,0,0,1,0,0,1,,,0
7788450,0,0,1,0,0,1,,,0
7788449,0,0,1,0,0,1,,,0
7788448,0,0,0,0,0,1,,,0
7788447,0,0,0,0,0,1,,,0
7788445,0,0,0,0,0,1,,,0
7788446,0,0,1,0,0,1,,,0
7788443,0,0,0,0,0,1,,,0
7788444,0,0,0,0,0,1,,,0
7788442,0,0,2,0,0,1,,,0
7788441,0,0,3,0,0,1,,,0
7788440,0,0,3,0,0,1,,,0
7788439,0,0,1,0,0,1,,,0
7788438,0,0,1,0,0,1,,,0
7788437,0,0,2,0,0,1,,,0
7788436,0,0,0,0,0,1,,,0
7788435,1,0,0,0,0,1,,,0
7788433,0,0,0,0,0,1,,,0
7788432,0,0,0,0,0,1,,,0
7788431,0,0,1,0,0,1,,,0
7788430,0,0,0,0,0,1,,,0
7788429,0,0,1,0,0,1,,,0
7788428,0,0,1,0,0,1,,,0
7788424,0,0,1,0,0,1,,,0
7788423,0,3,1,90,0,2,11,5,1250
7788420,0,6,2,688,16,5,106,38,0
7788418,0,0,0,0,0,1,,,0
7788417,0,0,10,0,0,1,,,0
7788413,0,0,2,0,0,1,,,0
7788411,0,0,1,0,0,1,,,0
7788410,0,0,1,0,0,1,,,0
7788409,0,0,2,0,0,1,,,0
7788408,0,0,0,0,0,1,,,0
7788407,0,4,2,224,0,2,35,14,0
7788406,0,0,0,0,0,1,,,0
7788405,0,0,5,0,0,1,,,0
7788403,0,0,0,0,0,2,,,800
7788401,0,0,0,0,0,1,,,0
7788399,0,0,0,0,0,1,,,0
7788398,0,0,0,0,0,1,,,0
7788397,0,0,2,0,0,1,,,0
7788391,0,0,2,0,0,1,,,0
7788375,1,2,0,15,0,2,1,1,1010
7788369,0,7,1,1106,10,4,307,105,17732
7788363,0,0,0,0,0,2,,,800
7788362,0,7,2,971,5,3,225,79,7807
7788361,0,0,0,0,0,2,,,800
7788359,0,2,0,21,0,2,2,,1260
7788358,0,2,0,16,0,2,3,,1080
7788356,0,0,1,0,0,2,,,800
7788355,1,0,0,0,0,1,,,0
7788349,0,4,0,159,0,2,22,6,1810
7788345,0,7,0,866,12,4,160,51,3676
7788332,0,0,3,0,5,1,,,0
7788329,0,0,0,0,0,1,,,0
7788327,0,0,2,0,5,1,,,0
7788324,1,0,1,0,5,1,,,0
7788322,0,0,2,0,0,1,,,0
7788321,1,2,3,11,0,2,2,,1020
7788309,0,1,0,3,5,3,2,,770
7788307,0,0,0,0,5,1,,,0
7788303,0,3,1,54,0,2,4,1,1170
7788301,0,0,2,0,0,1,,,0
7788300,1,2,0,8,0,2,2,,980
7788299,0,0,0,0,0,1,,,0
7788295,0,3,0,114,0,2,14,8,4390
7788293,1,0,0,0,0,1,,,0
7788287,1,3,1,76,1,2,5,3,2240
7788284,0,0,2,0,5,1,,,0
7788278,0,4,0,129,5,3,17,6,30
7788277,0,2,0,11,0,2,3,,970
7788253,0,2,0,14,0,2,3,,0
7788252,0,7,3,874,10,4,124,46,0
7788250,0,0,0,0,10,1,,,0
7788247,1,0,4,0,0,1,,,0
7788246,0,0,2,0,5,1,,,0
7788243,0,6,1,687,10,3,350,104,6000
7788241,0,3,2,113,10,4,18,2,0
7788235,0,0,1,0,0,2,,,200
7788234,0,4,4,130,0,2,23,2,200
7788233,1,0,2,0,0,1,,,0
7788231,0,6,1,533,5,3,97,23,0
7788225,0,0,1,0,0,2,,,800
7788224,0,2,0,13,0,2,2,,1150
7788222,0,2,0,37,0,2,3,1,620
7788213,1,0,0,0,0,1,,,0
7788211,0,4,0,162,0,2,15,3,90
7788206,1,3,2,45,0,2,6,,1250
7788205,1,10,0,2443,15,5,633,221,13062
7788204,0,3,0,109,0,2,12,5,2690
7788199,0,0,0,0,0,1,,,0
7788198,0,0,3,0,5,1,,,0
7788194,1,3,8,99,0,2,15,4,1070
7788191,1,2,2,21,5,3,5,,93
7788182,0,0,0,0,0,1,,,0
7788180,0,0,1,0,0,1,,,0
7788178,0,0,0,0,5,1,,,0
7788177,0,0,0,0,0,1,,,0
7788176,0,0,0,0,0,1,,,0
7788175,0,0,2,0,25,1,,,0
7788172,0,0,1,0,0,1,,,0
7788171,0,0,1,0,5,1,,,0
7788170,0,2,0,11,0,2,3,,840
7788169,0,0,1,0,15,1,,,0
7788166,1,0,2,0,0,1,,,0
7788164,0,0,2,0,20,1,,,0
7788163,0,0,0,0,5,1,,,0
7788160,0,0,1,0,0,1,,,0
7788159,0,0,1,0,5,1,,,0
7788156,0,0,1,0,0,1,,,0
7788155,0,0,4,0,5,1,,,0
7788150,0,7,1,1074,15,5,218,70,60
7788146,0,0,0,0,5,1,,,0
7788145,0,0,0,0,0,1,,,0
7788143,0,0,1,0,0,1,,,0
7788142,1,0,3,0,0,1,,,0
7788140,0,0,1,0,5,1,,,0
7788139,0,0,4,0,5,1,,,0
7788137,0,4,0,251,0,2,34,12,4311
7788135,0,9,1,1804,25,7,316,89,24705
7788131,0,0,1,0,0,2,,,800
7788128,0,2,0,8,0,2,2,,970
7788122,0,0,1,0,0,1,,,0
7788121,0,0,0,0,5,3,,,800
7788119,0,0,0,0,0,2,,,800
7788118,0,3,1,85,0,2,11,4,1180
7788117,0,10,1,2652,80,8,642,136,1064718
7788116,1,2,0,5,5,3,1,,980
7788111,0,6,1,499,10,4,72,15,190
7788108,1,5,4,308,10,4,53,10,3000
7788106,1,0,2,0,0,1,,,0
7788102,0,2,2,11,0,2,3,,580
7788100,0,0,0,0,0,1,,,0
7788101,0,0,1,0,0,1,,,0
7788099,0,7,1,1015,20,4,174,38,0
7788098,0,0,0,0,0,1,,,0
7788096,0,2,3,19,0,2,3,,800
7788086,0,5,0,325,10,4,50,17,6425
7788085,1,0,3,0,0,2,,,800
7788083,0,0,1,0,0,1,,,0
7788078,0,7,0,875,0,2,187,32,1426
7788076,0,5,1,438,5,3,50,15,0
7788069,0,6,6,723,10,4,135,41,0
7788058,0,6,1,635,0,2,110,34,2209
7788057,0,5,0,351,0,2,60,14,1870
7788045,0,3,0,92,5,3,14,2,1190
7788042,0,0,1,0,0,2,,,200
7788034,0,3,1,81,0,2,10,6,860
7788028,0,3,0,112,0,2,12,3,1230
7788024,0,3,0,58,0,2,8,1,240
7788021,0,0,1,0,0,2,,,800
7788013,1,2,1,18,0,2,2,,980
7788008,0,3,0,110,0,2,9,2,0
7788004,0,0,1,0,0,1,,,0
7788003,0,0,1,0,0,2,,,800
7787998,1,4,3,140,10,4,20,3,150
7787997,0,0,3,0,0,1,,,0
7787995,0,0,2,0,0,2,,,800
7787994,1,3,1,121,5,3,18,4,0
7787992,0,0,2,0,5,1,,,0
7787990,0,0,1,0,0,1,,,0
7787989,0,0,1,0,0,1,,,0
7787985,0,0,7,0,0,2,,,800
7787984,0,6,1,621,0,2,103,39,194
7787983,0,0,0,0,0,1,,,0
7787978,0,0,2,0,0,1,,,0
7787972,0,0,7,0,5,1,,,0
7787961,0,0,4,0,0,1,,,0
7787954,0,2,1,10,0,2,,,800
7787950,0,2,2,5,0,2,1,,980
7787947,0,0,1,0,0,2,,,800
7787945,0,4,0,193,0,2,27,12,880
7787942,0,0,0,0,0,1,,,0
7787939,0,3,0,71,0,2,7,3,1170
7787938,0,5,2,392,0,2,57,24,70100
7787935,0,2,0,11,0,2,3,,770
7787934,1,6,1,593,0,2,74,19,0
7787932,1,6,1,550,0,2,60,20,150
7787925,1,5,1,452,5,3,46,8,0
7787924,0,0,0,0,0,1,,,0
7787923,0,0,2,0,0,2,,,800
7787921,0,2,6,24,5,3,4,,780
7787920,0,0,1,0,15,1,,,0
7787918,0,6,0,495,0,2,49,10,20648
7787913,0,0,0,0,0,2,,,800
7787911,0,0,4,0,0,1,,,0
7787907,0,4,4,138,0,2,17,2,1260
7787904,0,6,1,591,6,3,56,16,1000
7787903,0,0,1,0,0,2,,,800
7787902,0,0,4,0,0,1,,,0
7787894,0,2,0,11,0,2,2,,790
7787893,0,0,1,0,0,2,,,800
7787891,1,3,4,72,5,3,6,2,0
7787889,0,0,5,0,0,2,,,800
7787887,0,0,1,0,0,2,,,800
7787886,0,2,2,10,0,2,,,800
7787885,0,0,2,0,0,1,,,0
7787881,0,0,1,0,0,2,,,800
7787879,0,3,1,54,0,2,2,1,1430
7787876,1,0,0,0,0,1,,,0
7787873,1,0,0,0,0,2,,,800
7787863,0,6,2,589,10,4,83,22,1500
7787862,0,0,1,0,10,1,,,0
7787858,0,0,0,0,0,1,,,0
7787856,0,0,1,0,0,1,,,0
7787855,1,0,0,0,10,1,,,0
7787853,0,3,0,87,0,2,14,3,550
7787850,1,0,0,0,0,2,,,800
7787847,0,0,0,0,5,3,,,1688
7787846,1,7,6,799,11,4,93,21,576
7787845,0,0,1,0,10,1,,,0
7787844,0,0,0,0,0,1,,,0
7787843,0,0,4,0,10,1,,,0
7787834,0,0,0,0,5,3,,,2688
7787830,1,5,2,332,11,4,54,15,0
7787826,0,4,3,162,5,3,18,1,100
7787825,1,10,0,2339,75,8,590,139,0
7787821,1,0,1,0,0,2,,,800
7787819,0,0,0,0,5,3,,,2688
7787815,0,2,0,11,0,2,3,,790
7787809,0,10,9,2603,25,7,835,227,30517
7787807,0,2,2,10,0,2,,,800
7787806,0,0,2,0,0,1,,,0
7787804,0,0,1,0,0,1,,,0
7787801,0,0,1,0,0,1,,,0
7787798,0,0,2,0,0,2,,,800
7787797,0,2,0,5,0,2,1,,980
7787796,0,0,4,0,0,1,,,0
7787795,0,0,0,0,0,1,,,0
